"datum", "bjelovarsko-bilogorska", "brodsko-posavska", "dubrovacko-neretvanska", "grad-zagreb", "istarska", "karlovacka", "koprivnicko-krizevacka", "krapinsko-zagorska-zupanija", "licko-senjska", "medjimurska", "osjecko-baranjska", "pozesko-slavonska", "primorsko-goranska", "sibensko-kninska", "sisacko-moslavacka", "splitsko-dalmatinska", "varazdinska", "viroviticko-podravska", "vukovarsko-srijemska", "zadarska", "zagrebacka"
"2020-04-08", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
"2020-04-09", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
