"datum", "bjelovarsko-bilogorska", "brodsko-posavska", "dubrovacko-neretvanska", "grad-zagreb", "istarska", "karlovacka", "koprivnicko-krizevacka", "krapinsko-zagorska-zupanija", "licko-senjska", "medjimurska", "osjecko-baranjska", "pozesko-slavonska", "primorsko-goranska", "sibensko-kninska", "sisacko-moslavacka", "splitsko-dalmatinska", "varazdinska", "viroviticko-podravska", "vukovarsko-srijemska", "zadarska", "zagrebacka"
"2020-04-08", 10, 18, 63, 370, 79, 23, 20, 86, 2, 6, 81, 3, 69, 44, 22, 205, 35, 4, 29, 56, 101
"2020-04-09", 11, 18, 65, 382, 80, 23, 21, 92, 2, 6, 81, 3, 70, 53, 22, 246, 35, 4, 31, 60, 102
